Run,Program Version,User,Time Started (UTC),Time Finished (UTC),Minutes Spent,Position,Points,answerScale,workSetting,Please enter the time you are starting this survey (njg1zai),TimeStart,Please enter what type of position you hold in your organization: (7dfjc8c),Q1: We stay connected as a team (jmf81fl),Q2: Our team meetings and discussions are effective (j4qxktr),Q3: We have enough autonomy to perform our jobs effectively (k9zva4g),Q4: I know how my work contributes to the mission of my organization (sp2u299),Q5: I feel I am part of a team (ptrg9vs),Q6: Other units collaborate effectively with us to get the job done (uyldfu2),Q7: My supervisor helps me feel valued at my organization (eh68eka),Q8: There is open and honest two-way communication with my supervisor (a1h9boh),Q9: We are encouraged to be innovative even if success is not guaranteed (eghp99c),Q10: I feel comfortable being my authentic self at work (bawv4xt),Q11: I feel valued for the unique contribution I can make to my organization (swn9pla),Q12: I feel safe to take risks and fail within my organization (7f3jrn8),Q13: People on my team care about me as a person (cz4vt46),Q14: People on my team share information with each other (k11krym),Q15: My supervisor listens to what I have to say (6gofkl5),Q16: My supervisor is available when I need them (klitn56),Q17: I have measurable goals that are clearly explained (2f086v5),Q18: I achieve a good balance between my work life and my private life (znr9703),Q19: I feel valued as an employee (nrgz8gy),Q20: I receive recognition for doing good work (6jdeezh),Q21: I am treated fairly at work (c4ypi0v),"Q22: Based on your experience over the past two years, which work setting do you find works best for *you*? (w7dfag3)","Q23: Based on your experience over the past two years, which work setting do you find works best for promoting *healthy work relationships*? (5pxaww1)","Q24: Based on your experience over the past two years, which work setting do you find works best for promoting *a healthy work culture* within your team? (a0th5z8)",Q25: Please enter up to three words or phrases that you associate with *healthy work relationships* (n1nc571),Q26: Please enter up to three words or phrases that you associate with a healthy work culture (nrepezj),Please enter the time you are completing this survey (dg4le6z),TimeEnd,Ok. Would you like to do this again or are you done? (f6znlsp),Please enter what type of position you hold in your organization: (gqc27r2)
7112471,25,,2022-03-01 02:18:54,,0.00,ndeoneq,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7112494,25,,2022-03-01 02:29:21,2022-03-01 20:42:07,1092.77,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",12:39 PM,12:39 PM,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,Joy,Respect,12:41 PM,12:41 PM,I'm done,Team Member
7112495,25,,2022-03-01 02:29:19,2022-03-01 02:34:25,5.23,n2ykatm,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",6:29 PM,6:29 PM,,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,"Exercise,Access,Autonomy","Teamwork,Open communication,Clearly defined goals,Clearly defined timelines",6:34 PM,6:34 PM,I'm done,Manager / Supervisor
7112498,25,,2022-03-01 02:31:01,,0.67,ln0cvhi,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",6:31 PM,6:31 PM,,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,Manager / Supervisor
7112515,25,,2022-03-01 02:39:54,2022-03-01 02:44:23,4.47,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",6:40 PM,6:40 PM,,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,2,2,Teamwork,Fun,6:44 PM,6:44 PM,I'm done,Team Member
7112602,25,,2022-03-01 03:20:35,2022-03-01 03:26:52,6.28,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",7:20 PM,7:20 PM,,3,3,3,2,2,3,2,2,2,2,2,2,2,3,2,3,3,3,3,3,2,3,1,1 | 1,"Everyone works, same standards, accountability",Team,7:26 PM,7:26 PM,I'm done,Manager / Supervisor
7112621,25,,2022-03-01 03:33:28,2022-03-01 03:37:36,4.13,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",7:33 PM,7:33 PM,,3,3,2,4,4,4,4,4,3,2,3,2,3,4,3,2,4,2,4,3,3,3,1,1,Clear defined goals,Feeling valued/needed,7:37 PM,7:37 PM,I'm done,Team Member
7112635,25,,2022-03-01 03:39:02,2022-03-01 03:53:06,14.05,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",7:40 PM,7:40 PM,,2,2,3,2,2,2,2,2,3,2,3,3,2,3,2,3,3,2,2,2,2,3,3,1,"communication,respect,listening","communication,respect,sharing",7:52 PM,7:52 PM,I'm done,Manager / Supervisor | Team Member
7112643,25,,2022-03-01 03:44:06,2022-03-01 03:47:11,3.55,thc924j,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",7:44 PM,7:44 PM,,3,2,3,1,2,3,3,2,3,3,3,3,4,3,3,3,1,1,3,3,4,3,1,1,Good communication,Good communication,7:47 PM,7:47 PM,I'm done,Manager / Supervisor
7112655,25,,2022-03-01 03:47:50,,0.00,ndeoneq,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7112658,25,,2022-03-01 03:51:48,,0.97,soh2sq9,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",7:51 PM,7:51 PM,,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,Team Member
7112682,25,,2022-03-01 04:01:29,2022-03-01 04:05:57,4.45,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",8:01 PM,8:01 PM,,1,2,2,1,1,2,1,1,3,1,1,1,2,2,1,1,1,1,1,2,1,3,3,3,"Communication is essential,Recognition is essential,Clearly defined goals and strategies are essential,Overcoming obstacles is essential,Feedback is essential","Communication,Recognition,Clearly stated goals and objectives",8:05 PM,8:05 PM,I'm done,Manager / Supervisor
7112695,25,,2022-03-01 04:07:41,2022-03-01 04:10:54,3.22,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",8:07 PM,8:07 PM,,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Teamwork,Collaboration,Safe","Teamwork,Collaboration,Safe",8:10 PM,8:10 PM,I'm done,Manager / Supervisor
7112757,25,,2022-03-01 04:29:57,,0.10,g22nix1,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",8:30 PM,8:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7112812,25,,2022-03-01 04:55:38,,0.08,g22nix1,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",8:55 PM,8:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7112847,25,,2022-03-01 05:23:36,2022-03-01 05:26:37,3.00,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",9:23 PM,9:23 PM,,2,2,2,2,1,2,3,3,2,1,1,1,1,2,3,3,3,3,3,2,2,3,3,1,"communication,respect,integrity","respect,integrity,communication",9:26 PM,9:26 PM,I'm done,Executive
7112860,25,,2022-03-01 05:36:42,2022-03-01 05:51:15,14.55,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",9:37 PM,9:37 PM,,2,3,2,2,2,2,3,1,3,3,3,4,3,2,1,2,3,3,3,3,3,2,3,3,"Less fear based tactics,More Positive Reinforcement,Compassionate","Safe,Friendly,Open",9:51 PM,9:51 PM,I'm done,Team Member
7112885,25,,2022-03-01 06:03:02,2022-03-01 06:06:48,3.77,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",12:03 AM,12:03 AM,,2,3,3,3,3,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,3,3,"Value,Genuine,Recognize","Patience,Care,Detail",12:06 AM,12:06 AM,I'm done,Team Member
7113549,25,,2022-03-01 13:53:45,2022-03-01 13:59:56,6.17,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",5:53 AM,5:53 AM,,3 | 3 | 2,2,2,1,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,1,1,"Communication,Connecting,Family","Honesty,Ethics,Integrity",5:59 AM,5:59 AM,I'm done,Prefer not to say
7113664,25,,2022-03-01 15:02:27,2022-03-01 15:06:12,3.95,n2ykatm,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",7:02 AM,7:02 AM,,2,3,1,2,1,3,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,3,3,3,"Communication, trust, honesty","Civility,Organization,Promptness",7:06 AM,7:06 AM,I'm done,Team Member
7113680,25,,2022-03-01 15:06:55,2022-03-01 15:09:38,2.72,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",7:06 AM,7:06 AM,,3,3,2,2,2,3,3,3,3,2,3,3,2,2,3,3,3,2,3,3,2,3,3,3,N/A,N/A,7:09 AM,7:09 AM,I'm done,Team Member
7113715,25,,2022-03-01 15:21:07,2022-03-01 15:26:01,4.90,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",7:21 AM,7:21 AM,,2,2,2,2,2,3,2,2,2,3,3,3,3,2,2,2,2,2,3,3,3,2,2,2,"organized, open communication","open communication,organized,not overworked",7:25 AM,7:25 AM,I'm done,Team Member
7113726,25,,2022-03-01 15:26:57,,0.00,ndeoneq,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7113760,25,,2022-03-01 15:47:12,2022-03-01 15:51:24,4.18,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",7:47 AM,7:47 AM,,2,2,2,2,2,3,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2,1,1,1,"Team Work,listening,Caring,family","Patience,Collaboration,Leadership",7:51 AM,7:51 AM,I'm done,Manager / Supervisor
7113820,25,,2022-03-01 16:05:24,2022-03-01 16:28:23,22.98,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",8:05 AM,8:05 AM,,2,3,2,2,2,3,3,2,3,3,3,3,3,2,2,2,3,3,2,2,2,3,3,3,"Container, Coffee and more Coffee","Communications, Cordage and Coffee",8:27 AM,8:27 AM,I'm done | I'm done,Manager / Supervisor
7113837,25,,2022-03-01 16:13:36,2022-03-01 16:19:17,5.68,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",8:13 AM,8:13 AM,,2,2,2,2,2,4,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3,3,3,"Success, balance work situation, attainable goal",Promotion,8:19 AM,8:19 AM,I'm done,Team Member
7113843,25,,2022-03-01 16:16:48,,0.52,142zgig,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",8:16 AM,8:16 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Executive
7114051,25,,2022-03-01 17:10:31,2022-03-01 17:13:05,2.57,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",9:10 AM,9:10 AM,,2,2,1,1,1,3,1,1,1,2,2,3,2,1,1,1,1,3,2,1,1,3,3,3,Honest/Open/Straight Forward,Open,9:12 AM,9:12 AM,I'm done,Manager / Supervisor
7114056,25,,2022-03-01 17:11:47,2022-03-01 17:15:28,3.67,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",9:11 AM,9:11 AM,,2,1,3,1,1,3,1,1,1,2,3,2,1,2,1,2,3,2,3,3,1,3,3,3,respectful communicative clear direction,same as what I just entered,9:15 AM,9:15 AM,I'm done,Manager / Supervisor
7114066,25,,2022-03-01 17:14:31,2022-03-01 18:27:59,73.45,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",9:14 AM,9:14 AM,,3,3,2,1,4,3,4,4,4,4,4,4,3,2,4,4,4,2,4,4,4,2,2,2,"effective communication,collaboration,Inclusive collaboration | Effective communication,Professionalism,Tactful honesty","Inclusive collaboration,Fostering an environment where everyone feels comfortable communicating with supervisors,Opportunity for growth and development",10:27 AM,10:27 AM,I'm done,Prefer not to say
7114205,25,,2022-03-01 18:08:28,2022-03-01 18:13:51,5.38,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",10:08 AM,10:08 AM,,3,4,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,2,3,3,Trust Communication and Boundaries | Trust,Communication,10:13 AM,10:13 AM,I'm done,Manager / Supervisor
7114290,25,,2022-03-01 18:40:30,2022-03-01 18:44:35,4.07,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",10:41 AM,10:41 AM,,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,3,3,2,2,2,2,1,1,1,Team members helping each other,Team members showing respect for different opinions,10:44 AM,10:44 AM,I'm done,Team Member
7114371,25,,2022-03-01 19:06:05,2022-03-01 19:25:19,19.23,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",11:06 AM,11:06 AM,,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,3,3,3,"Inter workings of the Guard, transparency,Mindfulness in caring of the whole member,Purpose of mission","Organized,Meaningful,Diversity",11:24 AM,11:24 AM,Do this again | I'm done,Executive
7114386,25,,2022-03-01 19:11:12,2022-03-01 19:18:41,7.48,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",11:11 AM,11:11 AM,,3,4,3,1,3,3,3,3,2,2,3,3,2,3,2,2,3,2,3,3,3,1,1,1,"honesty,ethical,helpful | honesty,ethical,helpful","pull your weight,teamwork,pride",11:18 AM,11:18 AM,I'm done,Team Member
7114508,25,,2022-03-01 20:08:29,2022-03-01 20:11:45,3.25,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",12:08 PM,12:08 PM,,3,4,4,3,3,3,3,3,4,4,3,4,4,4,3,3,4,4,4,3,4,2,1,1,Communication,Communication,12:11 PM,12:11 PM,I'm done,Manager / Supervisor
7114580,25,,2022-03-01 20:57:19,,0.00,ndeoneq,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7114585,25,,2022-03-01 21:03:26,2022-03-01 21:08:17,4.83,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",1:03 PM,1:03 PM,,3,3,2,2,2,2,2,1,3,3,3,2,2,2,2,2,3,3 | 1,2,3,2,3,3,3,inclusion sharing listening | inclusion sharing listening | inclusion sharing listening,same as Q25,1:08 PM,1:08 PM,I'm done,Team Member
7114688,25,,2022-03-01 21:58:31,2022-03-01 22:07:40,9.15,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",1:59 PM,1:59 PM,,3,3,3,1,3,4,3,3,3,3,3,3,3,3,2,3,3,2,3,3,4,3,3,3,"considerate of others,use common sense,stay home if sick",stay home if sick,2:07 PM,2:07 PM,I'm done,Prefer not to say
7114803,25,,2022-03-01 23:08:05,,0.00,ndeoneq,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7115066,25,,2022-03-02 02:38:22,2022-03-02 02:44:26,6.07,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",6:38 PM,6:38 PM,,1,1,1,1,1 | 1,1 | 3 | 2 | 2,2 | 1,1,2,2,3,3,2,2,2,2,2,2,1,2,1,3,3,3,"Trust,Teamwork,Honesty,Communication,Respect | Trust,Teamwork,Honesty,Communication,Respect","Trust,Honesty,Respect,Communication",6:44 PM,6:44 PM,I'm done,Manager / Supervisor | Manager / Supervisor
7115125,25,,2022-03-02 03:50:42,,0.00,ndeoneq,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7116901,25,,2022-03-02 22:33:21,,0.00,ndeoneq,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7116923,25,,2022-03-02 22:44:06,2022-03-02 22:52:41,8.58,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",2:44 PM,2:44 PM,,1,2,1,1,1,2,1,1,2,1,1,2,2,3,1,1,2,2,2,2,2,3,3,1,"commeradery,cohesiveness,team spirit | commeradery,cohesiveness,team spirit","non bias,an inclusive relationship",2:52 PM,2:52 PM,I'm done,Manager / Supervisor
7117862,25,,2022-03-03 14:01:34,2022-03-03 14:04:57,3.37,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",6:01 AM,6:01 AM,,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,3,3,3,"encouragement, clarity, purposeful","encouragement,clarity,purposeful",6:04 AM,6:04 AM,I'm done,Team Member
7117917,25,,2022-03-03 14:29:36,2022-03-03 14:33:15,3.65,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",7:29 AM,7:29 AM,,2,2,2,2,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,Respect,Request,7:33 AM,7:33 AM,I'm done,Manager / Supervisor
7118346,25,,2022-03-03 18:34:27,2022-03-03 18:43:03,8.60,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",10:34 AM,10:34 AM,,3,3,2,2,2,3,2,2,3,2,3,2,3,2,2,2,2,3,2,3,2,3,3,3,"Respect, trust and Communication",One where employees feel valued,10:42 AM,10:42 AM,I'm done,Prefer not to say
7118377,25,,2022-03-03 18:49:34,2022-03-03 18:56:38,7.05,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",10:49 AM,10:49 AM,,3,2,2,3,3,2,3,2,3,2,3,3,3,3,3,3,3,2,3,3,2,1 | 3,1,3,"Communication, Recognition, Collaboration | Communication,Recognition,Collaboration | Communication,Recognition,Collaboration",Respect,10:56 AM,10:56 AM,I'm done,Team Member
7118661,25,,2022-03-03 21:10:45,2022-03-03 21:18:53,8.13,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",1:11 PM,1:11 PM,,2,2,1,2,1,1,1,1,2,2,2,2,1,1,1,1,2,3,2,2,1,3,3,3,Trust | Trust,Pulling together.,1:18 PM,1:18 PM,I'm done,Team Member
7118906,25,,2022-03-04 00:26:47,2022-03-04 00:37:36,11.10,n2ykatm,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",4:27 PM,4:27 PM,,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,communication and goal setting,"honesty, fairness, positive culture",4:37 PM,4:37 PM,I'm done,Team Member
7119125,25,,2022-03-04 04:01:15,,1.03,142zgig,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",8:01 PM,8:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Team Member
7120075,25,,2022-03-04 16:13:48,2022-03-04 16:16:54,3.08,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",8:13 AM,8:13 AM,,3,2,3,3,3,2,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,"collaboration,communication",communication,8:16 AM,8:16 AM,I'm done,Manager / Supervisor
7120480,26,,2022-03-04 19:03:42,,0.05,ndeoneq,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
